"KAD_GEM_CODE","KAD_NAAM","BURG_NR","BURG_GEM_KODE","BURG_NAAM","BEW_CODE","BEW_NAAM","MAPINFO_ID"
"DRP00","DRONRIJP","1908","MNM00","MENAMERADIEL","20","LEEUWARDEN",20199
"DSK00","DOORNSPIJK","0230","EBG01","ELBURG","25","ARNHEM",20200
"DSN01","DALFSEN","0148","DSN01","DALFSEN","23","ZWOLLE",20201
"DSN02","DIESSEN","0798","HVR00","HILVARENBEEK","19","EINDHOVEN",20202
"DSN03","DUSSEN","0870","WKD00","WERKENDAM","13","BREDA",20203
"DTC01","AMBT-DOETINCHEM","0222","DTC03","DOETINCHEM","25","ARNHEM",20204
"DTC02","STAD-DOETINCHEM","0222","DTC03","DOETINCHEM","25","ARNHEM",20205
"DTL00","DRECHTERLAND","0498","DTL00","DRECHTERLAND","24","ALKMAAR",20206
"DTN01","DRONTEN","0303","DTN01","DRONTEN","26","LELYSTAD",20207
"DTN02","DRACHTEN","0090","SLE01","SMALLINGERLAND","20","LEEUWARDEN",20208
"DTN03","DRUTEN","0225","DTN03","DRUTEN","25","ARNHEM",20209
"GPN00","GULPEN","1729","GPN00","GULPEN-WITTEM","18","ROERMOND",20284
"GRA03","GRAFT-DE RIJP","0365","GRA01","GRAFT-DE RIJP","24","ALKMAAR",20285
"GRC00","GORINCHEM","0512","GRC00","GORINCHEM","15","ROTTERDAM",20286
"GRD00","GORREDIJK","0086","OSL00","OPSTERLAND","20","LEEUWARDEN",20287
"GRO00","GROUW","0055","BSH01","BOARNSTERHIM","20","LEEUWARDEN",20288
"GSB00","GIESSENBURG","0689","GSL00","GIESSENLANDEN","15","ROTTERDAM",20289
"GSL01","GORSSEL","0262","LCM00","LOCHEM","25","ARNHEM",20290
"GSN00","GROESSEN EN LOO","0226","DVN00","DUIVEN","25","ARNHEM",20291
"GST00","GASSELTE","1680","AAH00","AA EN HUNZE","21","ASSEN",20292
"GTD01","GEERTRUIDENBERG","0779","GTD01","GEERTRUIDENBERG","13","BREDA",20293
"GTD02","SINT GEERTRUID","1903","EDN01","EIJSDEN-MARGRATEN","18","ROERMOND",20294
"GTG00","GROOTEGAST","0015","GTG00","GROOTEGAST","22","GRONINGEN",20295
"GTL01","GESTEL","0772","EHV00","EINDHOVEN","19","EINDHOVEN",20296
"GTL02","OUD EN NIEUW GASTEL","1655","HDB01","HALDERBERGE","13","BREDA",20297
"GTM00","GRATHEM","1640","LDL00","LEUDAL","18","ROERMOND",20298
"GTN00","GIETEN","1680","AAH00","AA EN HUNZE","21","ASSEN",20299
"GTR00","GEESTEREN","1859","BKL10","BERKELLAND","25","ARNHEM",20300
"GVB00","GREVENBICHT","1883","STD01","SITTARD-GELEEN","18","ROERMOND",20301
"GVD01","GRONSVELD","1903","EDN01","EIJSDEN-MARGRATEN","18","ROERMOND",20302
"GVD02","'S-GRAVENDEEL","0585","BNM00","BINNENMAAS","15","ROTTERDAM",20303
